id,season,matchId,matchDate,homeTeamId,homeTeamName,awayTeamID,awayTeamName,homeTeamScore,awayTeamScore
0,2016/17,14410,2017-05-21,1,Arsenal,7,Everton,3,1
1,2016/17,14411,2017-05-21,43,Burnley,25,West Ham,1,2
2,2016/17,14412,2017-05-21,4,Chelsea,29,Sunderland,5,1
3,2016/17,14413,2017-05-21,41,Hull,21,Spurs,1,7
4,2016/17,14414,2017-05-21,26,Leicester,127,AFC Bournemouth,1,1
5,2016/17,14415,2017-05-21,10,Liverpool,13,Middlesbrough,3,0
6,2016/17,14416,2017-05-21,12,Man Utd,6,Crystal Palace,2,0
7,2016/17,14417,2017-05-21,20,Southampton,42,Stoke,0,1
8,2016/17,14418,2017-05-21,45,Swansea,36,West Brom,2,1
9,2016/17,14419,2017-05-21,33,Watford,11,Man City,0,5
10,2016/17,14375,2017-05-18,26,Leicester,21,Spurs,1,6
11,2016/17,14319,2017-05-17,20,Southampton,12,Man Utd,0,0
12,2016/17,14370,2017-05-16,1,Arsenal,29,Sunderland,2,0
13,2016/17,14377,2017-05-16,11,Man City,36,West Brom,3,1
14,2016/17,14313,2017-05-15,4,Chelsea,33,Watford,4,3
15,2016/17,14401,2017-05-14,6,Crystal Palace,41,Hull,4,0
16,2016/17,14409,2017-05-14,25,West Ham,10,Liverpool,0,4
17,2016/17,14407,2017-05-14,21,Spurs,12,Man Utd,2,1
18,2016/17,14403,2017-05-13,11,Man City,26,Leicester,2,1
19,2016/17,14400,2017-05-13,127,AFC Bournemouth,43,Burnley,2,1
20,2016/17,14404,2017-05-13,13,Middlesbrough,20,Southampton,1,2
21,2016/17,14406,2017-05-13,29,Sunderland,45,Swansea,0,2
22,2016/17,14405,2017-05-13,42,Stoke,1,Arsenal,1,4
23,2016/17,14402,2017-05-12,7,Everton,33,Watford,1,0
24,2016/17,14408,2017-05-12,36,West Brom,4,Chelsea,0,1
25,2016/17,14296,2017-05-10,20,Southampton,1,Arsenal,0,2
26,2016/17,14393,2017-05-08,4,Chelsea,13,Middlesbrough,3,0
27,2016/17,14396,2017-05-07,10,Liverpool,20,Southampton,0,0
28,2016/17,14390,2017-05-07,1,Arsenal,12,Man Utd,2,0
29,2016/17,14397,2017-05-06,11,Man City,6,Crystal Palace,5,0
30,2016/17,14391,2017-05-06,127,AFC Bournemouth,42,Stoke,2,2
31,2016/17,14392,2017-05-06,43,Burnley,36,West Brom,2,2
32,2016/17,14394,2017-05-06,41,Hull,29,Sunderland,0,2
33,2016/17,14395,2017-05-06,26,Leicester,33,Watford,3,0
34,2016/17,14398,2017-05-06,45,Swansea,7,Everton,1,0
35,2016/17,14399,2017-05-05,25,West Ham,21,Spurs,1,0
36,2016/17,14388,2017-05-01,33,Watford,10,Liverpool,0,1
37,2016/17,14381,2017-04-30,7,Everton,4,Chelsea,0,3
38,2016/17,14383,2017-04-30,13,Middlesbrough,11,Man City,2,2
39,2016/17,14387,2017-04-30,21,Spurs,1,Arsenal,2,0
40,2016/17,14382,2017-04-30,12,Man Utd,45,Swansea,1,1
41,2016/17,14384,2017-04-29,20,Southampton,41,Hull,0,0
42,2016/17,14385,2017-04-29,42,Stoke,25,West Ham,0,0
43,2016/17,14386,2017-04-29,29,Sunderland,127,AFC Bournemouth,0,1
44,2016/17,14389,2017-04-29,36,West Brom,26,Leicester,0,1
45,2016/17,14380,2017-04-29,6,Crystal Palace,43,Burnley,0,2
46,2016/17,14295,2017-04-27,11,Man City,12,Man Utd,0,0
